Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use Location
60;Marine 71;Analogue;	156,57500;	156,57500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
61;Marine 72;Analogue;	156,62500;	156,62500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
62;Marine 73;Analogue;	156,67500;	156,67500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
63;Marine 74;Analogue;	156,72500;	156,72500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
64;Marine 75;Analogue;	156,77500;	156,77500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
65;Marine 76;Analogue;	156,82500;	156,82500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
66;Marine 77;Analogue;	156,87500;	156,87500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
67;Marine 78;Analogue;	161,52500;	156,92500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
68;Marine 79;Analogue;	161,57500;	156,97500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
69;Marine 80;Analogue;	161,62500;	157,02500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
70;Marine 81;Analogue;	161,67500;	157,07500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
71;Marine 82;Analogue;	161,72500;	157,12500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
72;Marine 83;Analogue;	161,77500;	157,17500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
73;Marine 84;Analogue;	161,82500;	157,22500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
74;Marine 85;Analogue;	161,87500;	157,27500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
75;Marine 86;Analogue;	161,92500;	157,32500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
76;Marine 87;Analogue;	157,37500;	157,37500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
77;Marine 88;Analogue;	157,42500;	157,42500;12,5;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
78;LZ0WAG-R14;Analogue;	145,35000;	144,75000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
79;LZ0VHF-R0;Analogue;	145,60000;	145,00000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
80;LZ0BOT-R2;Analogue;	145,65000;	145,05000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
81;LZ0TRI;Analogue;	145,67500;	145,07500;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
82;LZ0PTN-R6;Analogue;	145,75000;	145,15000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
83;LZ0TUK;Analogue;	438,10000;	430,50000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
84;LZ0DRN;Analogue;	438,60000;	431,00000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
85;LZ0BGR;Analogue;	439,00000;	431,40000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
86;LZ0FSB;Analogue;	439,15000;	431,55000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
87;LZ0BGM;Analogue;	439,30000;	431,70000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
88;LZ0UHF;Analogue;	439,40000;	431,80000;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
89;LZ0MAI;Analogue;	439,57500;	431,97500;25;;;;;;;;None;88,5;Disabled;Master;No;No;No;0;Off;Yes;No;None;0;0;No
